Publicationobjectfromdate,Artcleversionheadline1,Artcleversioningressplain,Artcleversiontextplain,Channelobjectidf
39147.3925,Finland criticizes Russian timber tariffs,,"The Finnish Ministry for Foreign Affairs maintains that Russia’s

decision to raise export tariffs on timber is in conflict with a

bilateral agreement between the EU and Russia.",Engelska nyheter
39147.4331597222,Kim Wahl nominated as Norske Skog chair,,"Kim Wahl, Industri Kapital, has been nominated as the new chair of

Norske Skog, after Lars W Grøholt informed the nomination committee

that he would not be seeking re-election.",Engelska nyheter
39147.6569675926,NBSK pulp index continues to climb,,"Foex northern bleached softwood kraft (NBSK) pulp index has moved up to

758.93 Dollar per ton - an increase by 1.25 Dollar per ton, compared to

last week.",Engelska nyheter
39148.3812962963,Stora Enso considering ethanol plant in Wisconsin Rapids,,"Stora Enso has unveiled plans for ethanol production at its integrated paper mill in Wisconsin Rapids, USA.",Engelska nyheter
39148.4103009259,Stora Enso expands its corrugated packaging business,,"Stora Enso will expand its corrugated packaging business in Eastern

Europe and Russia by constructing new plants at Balabanovo in Russia

and Komarom in Hungary, and by expanding the existing plant at Lodz in

Poland.",Engelska nyheter
39148.5420949074,UPM to develop new paper selecting tools,,UPM is developing new tools founded on sense-based properties that will help customers in the paper selection process.,Engelska nyheter
39149.4868055556,Merger creates North American leader in fine paper,,"Domtar Inc announced yesterday the completion of the previously

announced transaction to combine with Weyerhaeuser's fine paper

business and related assets, creating Domtar Corporation.",Engelska nyheter
39149.4922800926,M-real extends its express board service in Europe,,"M-real's Express Board service is now available from four locations

across Europe, the most recent inauguration being at M-real Stockstadt,

Germany.",Engelska nyheter
39150.3900925926,Demonstration at Stora Enso forest plantation in Brazil,,"About 500 farm workers a few days ago staged a protest at a forest plantation in the south of Brazil, owned by Stora Enso.",Engelska nyheter
39150.5571875,"""Wood should not be regarded as biofuel potential""",,"Wood raw material that could be processed into higher value-added

products should not be counted as bioenergy potential, Finnish Forest

Industries Federation says in a message to the EU Summit that has taken place in Brussels the last two days.",Engelska nyheter
39150.6608449074,Moody's downgrades M-real's credit rating,,Moody´s has downgraded M-real Corporation's B2 rating to B3.,Engelska nyheter
39153.4090277778,SCA to acquire Procter & Gamble’s European tissue operations,,"SCA is to acquire Procter & Gamble’s entire European tissue

operations including a number of well-known and strong brands. The

purchase price is 512 million Euros.",Engelska nyheter
39153.5741203704,World records in China,,"The world's largest cartonboard machine, the Metso supplied PM6

at an APP mill in Ningbo, China, has once again reached new production

and speed records.",Engelska nyheter
39153.8990509259,"""Strategic choice for Procter & Gamble""",,"The divestment of Procter & Gamble's European tissue business to

Swedish SCA is a strategic move by the American company to focus on the

tissue markets in the US, Canada and Mexico.",Engelska nyheter
39154.3466666667,New Greenpeace demonstration against Stora Enso,,"The environmental organization Greenpeace demonstrated again yesterday

(March 12) against Stora Enso. On Monday morning, the activists spread

out a large banner on the side of the head office building in Helsinki

and six activists chained themselves to the building.",Engelska nyheter
39154.3494907407,Government takes action to support forest industry,,"The Swedish government is protesting Russia’s decision to impose export

tariffs on pulpwood. Minister for Foreign Trade Sten Tolgfors is taking

action in the EU together with Finland and is also taking direct

contact with the Russian government.",Engelska nyheter
39155.3942708333,Vacon opens subsidiary in Australia,,"The Finland-based AC drives manufacturer Vacon opens a subsidiary in

Australia. The opening will take place on March 15 in Melbourne",Engelska nyheter
39155.4135185185,"

New CEO Appointed for Rexcell",,Patrik Söderstjerna has been appointed CEO of Rexcell Tissue & Airlaid AB.,Engelska nyheter
39155.4291087963,Jussi Pesonen selected CEO of the Year,,UPM President and CEO Jussi Pesonen has been selected as the European CEO of the Year for the forest products industry.,Engelska nyheter
39155.61,BIM rolls out program for preventive chemical maintenance,,"BIM Kemi has developed an Embrace program for preventive chemical

maintenance to support its vision to be seen as the premier supplier of

""a clean machine"".",Engelska nyheter
39156.5063425926,M-real to close R&D Centers in Sweden and Germany,,"M-real re-engineers its research and development activities. The

R&D Centers in Örnsköldsvik, Sweden, and Bergisch Gladbach,

Germany, will be closed.",Engelska nyheter
39157.4160300926,Stora Enso and Neste Oil in biofuel project,,"Stora Enso has signed an agreement with Neste Oil to develop technology

for producing new biofuels from wood residues. A pilot plant will be

built in Varkaus, Finland.",Engelska nyheter
39160.3970949074,Botnia´s loan agreements for Uruguay project signed,,"Metsä-Botnia has signed one 230 million and one 100 million Dollars

loan  forthe pulp mill project in Uruguay. Metsä-Botnia has also

signed a 300 million Euros multicurrency revolving credit facility.",Engelska nyheter
39160.4022337963,World speed record at Stora Enso Kvarnsveden,,"PM12 at Stora Enso Kvarnsveden has set a new world

speed record for SC paper production. The machine reached a 24-hour

record of 1,900 meters per minute on 14-15 March.",Engelska nyheter
39160.5658564815,Arctic Paper sponsors book of photography,,"Arctic Paper has sponsored a new Kaleidoscope book of photography. The

book is by Swedish photographer Patrik Andersson, who has photographed actors, musicians and models during his 25-year career.",Engelska nyheter
39160.6005092593,Coreboard price increases announced,,"Sonoco-Alcore has  announced a general price increase on all coreboard grades in Europe, effective April 2.",Engelska nyheter
39160.6073842593,European consumer pulp stocks continue down,,"European consumer pulp inventories dropped by 2.1 percent last month,

reaching another record low, according to Utipulp and Risi.",Engelska nyheter
39163.4812037037,M-real announces price increase,,M-real Consumer Packaging announces a price increase for folding boxboard in Europe.,Engelska nyheter
39163.494849537,Utansjö plant goes to South Africa,,"Rottneros and the South African forestry co-operative NCT have signed a

Letter of Intent regarding a jointly owned CTMP mill in South

Africa.The CTMP production line at Utansjö mill will then be moved to

South Africa.",Engelska nyheter
39163.5013078704,M-real downgraded again,,Standard & Poor's has downgraded M-real Corporation. Only two weeks ago Moody's Investors Service downgraded M-real.,Engelska nyheter
39163.6861458333,Stora Enso joins Climate Leaders program,,"Stora Enso will participate in the US Environmental Protection Agency's

(EPA) Climate Leaders program. By participating, Stora Enso has pledged

to reduce greenhouse gas emissions from its US operations.",Engelska nyheter
39164.3726157407,New CEO and chairman of Duni,,"Fredrik von Oelreich has been appointed CEO of Duni AB, succeeding

Peter Nilsson, who will take up the position as Chairman of the board

of Duni.",Engelska nyheter
39164.4414467593,Metso to supply coated board line to China,,Metso Paper will supply a coated board line to China. The value of the order is close to 60 million Euros.,Engelska nyheter
39164.5678356482,Stora Enso's Forest Lapland wood deliveries discontinued,,"The state-owned Finnish enterprise Metsähallitus has completed logging

operations in Forest Lapland, northern Finland, for the season, and

Stora Enso does no longer receive wood deliveries from disputed areas.",Engelska nyheter
39167.6145484606,SCA and Godrej form JV in India,"SCA and Godrej Consumer Products Limited have announced the forming of

a Joint Venture for the manufacturing and marketing of absorbent

hygiene products, specifically sanitary napkins and baby diapers, in

India, Nepal and Bhutan. ","SCA and Godrej Consumer Products Limited will be equal partners in the

Joint Venture incorporated as Godrej SCA Hygiene Limited. The Joint

Venture is being set up with an equity capital of Rs.200 million (32

MSEK) through equal investments by both parents.

Godrej Consumer Products Limited is one of India’s fastest growing Fast

Moving Consumer Goods (FMCG) companies with annual consolidated sales

of Rs.7 billion (1,1 BSEK) in the last financial year (2005-2006).

”The Joint Venture gives us a great platform for entering the Indian

market with our successful consumer products. The Indian market is very

exciting and we plan to increase our sales there substantially over

time”, says Gunnar Johansson, President, SCA Personal Care.

The Joint Venture company will over time make investments for local

manufacturing of the products and also in marketing of their brands to

gain market shares in the feminine hygiene and baby diaper categories.

The new company will immediately get access to the wide distribution

network of Godrej Consumer Products Limited whose brands are available

in over two and a half million retail stores. Godrej SCA Hygiene

Limited will buy the “SNUGGY” brand of baby diapers from Godrej

Consumer Products Ltd. SCA will bring to the Joint Venture its world

leading technology and brands for the Indian market. ",Engelska nyheter
39167.662084838,Voith Paper: redordbreaking speed on Pilot paper machine,"In a pilot trial  woodfree paper was produced operating a Single

NipcoFlex press at the Voith Paper Technology Center (PTC) in

Heidenheim, Germany, on a record-breaking speed level of 2,092 m/min.","This speed for the production of wood-free uncoated copy paper is approx. 300 m/min higher than the current world record, which was obtained using a press with more than one press nip. Thus, the joy in Heidenheim over the outstanding performance using a Single NipcoFlex press is even greater. The web could be guided stably up to the reel. Web feed at high speeds was not even a problem in the known critical places of the first dryer groups.The strength values and surface characteristics of the paper samples obtained were in the normal range. The ash content was 15 percent.This trial was only successful due to the interaction between several innovative factors at the PTC. The modular design of the VPM 6 allowed the Single NipcoFlex press to be used in an infrastructure completely corresponding to that used in practice from headbox to reel and to study the machine’s performance capabilities. A press felt developed by Voith Paper Fabrics especially for the Single NipcoFlex was combined and used with an overall clothing concept designed for high drainage and drying performance. Through this, the press load and the clothing could be coordinated with the requirements for extremely high production speeds.",Engelska nyheter
39168.3274074074,Metso Paper to rebuild tissue machines in Sweden and Russia,"Metso Paper will rebuild the tissue machine PM 7 of SCA Hygiene

Products AB, Edet Mill, Lilla Edet, Sweden. Metso Paper has also been

selected to rebuild the press section of the tissue machine at

Naberezhniye Chelny Paper Mill, in the city of Naberezhniye Chelny,

Russia","Start-up at Edet Mill is scheduled for November, 2007. The order amount is not disclosed. The rebuild comprises a new 16' (4875 mm) Metso Yankee dryer, new Advantage AirCap Yankee hood including air system and heat recovery system, minor rebuilds to the wet end, press & Yankee section, and sheet transfer section including a TailThreader TIS tail threading system. The purpose for the rebuild is to increase drying capacity and operating speed. PM 7 is a Beloit C-former built in 1967, which has been rebuilt several times. Reel trim width is 3410 mm, the original Yankee dryer was 15' (4572 mm) and speed 1500 m/min. The order includes complete dismantling, installation and start-up serviceMetso Paper has also been selected to rebuild the press section of the tissue machine at Naberezhniye Chelny Paper Mill, in the city of Naberezhniye Chelny, Russia. The rebuild will comprise the revolutionary new Advantage ViscoNip press for energy savings, improved bulk and flat profile. The new press section will start up during the first quarter of 2008. One Advantage ViscoNip press is already in commercial operation and a second ViscoNip press has been sold to the Chinese tissue producer HengAn. The Advantage ViscoNip press is designed to optimize the performance of new and existing press sections in 2006 Metso Paper delivered a new reel to the same tissue machine at Naberezhniye Chelny. Naberezhniye Chelny Paper Mill is one of the largest tissue producers in Russia. The whole production of more than 50 000 tons of base paper this year will be converted at the mill into more than 300 million rolls of toilet paper counting for approximately 27 percent of the total Russian production. An ongoing rebuild program during the next few years will result in a more than 30 percent increase in the production.",Engelska nyheter
39168.6184095255,Gun Nilsson leaves Duni for Gambro,Deputy CEO Gun Nilsson has decided to leave Duni after a long and successful career.,Deputy CEO Gun Nilsson has decided to leave Duni after a long and successful career within the company. As from April 1st 2007 she has been appointed CEO of Gambro Holding AB. Gun Nilsson will remain in the Duni sphere as a member of the Duni board.,Engelska nyheter
39168.6366435185,Metso Paper targets 30 percent decrease in tissue-making energy consumption,"Of all operating challenges facing tissue makers today, the cost of

energy is one of the most cirtical. Having developed a number of

energy-efficient processes in recent years to to adress this issue,

Metso Paper is now targeting further reductions of energy consumption

in tissue making processes.","-Energy costs have risen dramatically in recent years. In the interest of helping our customer compensate for these costs, we target to trim total energy consumption by 30 percent says Jan Erikson, Vice President Sales at Metso Tissue Business Line.Electricity and gas are the the major sources of energy consumed in the tissue making process. Costs for both have risen dramatically. According to information from Eurostat, the Statistical Office of the European Communities, electricity prices for industrial users in the EU rose by 25 percent and gas prices by 50 percent between  January 2005 and January 2006.In the tissue making process, electricity runs machine drives pump and fans. Gas/steam is used for drying. The higher the consistency of the sheet after the press, the less energy consumed to dry it.In the interests of reducing energy consumption, water consumption is also of importance.At the Tissue World in Nice Metso presented currently available technologies that enable tissue makers to combat price increases by reducing electricity and gas/steam as well as water consumption.The OptiRefine RF, featuring improved refiner segments, reduces power consumption by 30 to 50 percent depending on fiber mix. This decreases energy consumption for tissue-line refining by 25 to 40 kWh/ton.The OptiFlo II TIS reduces headbox flow by 20 percent, which also cuts fan pump energy consumption by 20 percent. On high-speed machines, fan pump energy amounts to more than 50 percent of the total machine drive load. Compared with standard headboxes, the OptiFlo II TIS can decrease energy consumption on these machines by 40 to 60 KWh/ton.",Engelska nyheter
39175.43125,Hannu Ryöppönen new deputy CEO,Stora Enso's Board of Directors has appointed Hannu Ryöppönen as Deputy CEO.,"Hannu Ryöppönen will undertake the duties of Deputy CEO in addition to his current role as CFO. In addition, certain Group-wide functional responsibilities will be added in the future. Divisions continue to report to Stora Enso´s CEO.",Engelska nyheter
39175.4421527778,Wood supply a problem for Stora Enso,Some production curtailments are expected at Stora Enso´s Enocell pulp mill during the second quarter due to shortage of raw material. ,"According to Jouko Karvinen, Stora Enso´s new CEO, the company is trying to find alternative sources of wood.

""A reality for Stora Enso and the European forest products industry is

the worsening shortage of wood supply, resulting from announced higher

Russian export duties, the increasing use of wood fibre as biofuel, and

the rising environmental pressures to limit the procurement of wood raw

material. As we have announced, we have agreed not to buy wood from

Metsähallitus from disputed areas in northern Finland for now, but

there is no way we can produce pulp without sufficient wood supply”

Jouko Karvinen says. ",Engelska nyheter
39175.5510069444,Eloranta expects profitable growth to continue,"At Metso Corporation's Annual General Meeting being held today, President and CEO Jorma Eloranta estimates in his review that Metso's profitable growth will continue also in 2007. The good order intake in the first quarter supports the positive development for full year. ","""As we noted in February, in connection with the publication of our

Financial Statements, Metso's net sales in 2007 are estimated to grow

by more than 20 percent on 2006, and the operating profit is estimated

to clearly improve. We also repeat our estimate regarding the 2007

operating profit margin: It is estimated that the operating profit

margin will be slightly below Metso's 10 percent target. Metso's order

backlog has further strengthened from the year-end, which supports our

favorable full-year estimate""

 

However, Eloranta reminds that in businesses like Metso's the net sales

and operating profit can vary significantly between quarters: ""We

estimate that this year the first quarter will be the weakest, and the

net sales and operating profit for the last three quarters of the year

will clearly improve from the first quarter. This is mainly due to the

timing and mix of deliveries and normal seasonal variation,"" Eloranta

says.

 

According to Eloranta, continuous improvement of productivity and

operational quality are key matters for profitability development.

Additionally, Metso is developing its business processes and supporting

information systems.

 

""Growth will also require business renewal. We see great potential in,

for example, environmental and service business development,"" Eloranta

says. Metso will also consider corporate acquisitions that complement

its current product and service offering or strengthen its geographical

presence. ",Engelska nyheter
39175.618900463,Al Gore: We are seeing the beginning of a shift ,"The former vice president, Al Gore, visited Stockholm last week. In a discussion with Margot Wallström, he predicted a change in the US climate politics.  ","Gore and the EU-commissioner Margot Wallström had been invited

Stockholm to discuss Al Gores book, An Inconvenient Truth. Wallström

said she was pleased with the new goals set by the EU, on reducing

energy consumption with 20 percent by 2020, but stressed more can be

done. 

“I hope Europe will continue to take the lead by clear targets,

investing in technology and partnerships between counties and

politicians”, said Wallström.

The former vice president was optimistic on the possibility of combating climate change.

“I believe we are going to solve it,” said Gore.

He also said that the US climate politics might change in the near future. 

“We are seeing the beginning of a shift. Even though Bush is not

changing, the congress is now changing. Our states are not waiting for

the national government”, he said.

But the message was clear, something has to be done. 

“The existence of global warming is now a consensus. The effects that

were been predicted by researchers are now seen,” said Al Gore.

 ",Engelska nyheter
39182.4643981482,Highest profitability closest to end-customer,"Ernst & Young’s study of the paper industry reflects an industry undergoing major change. Higher and fluctuating energy prices, consolidation trends, changed demand and the possibilities and risks of moving into new markets are factors that impact the industry heavily.","In its survey, Ernst & Young interviewed leading representatives of

the pulp and paper industry in 12 countries about how they view the

industry’s future.

The survey reveals that the pulp and paper industry has posted poor

profitability in the past four years, with a few exceptions. Among

others, Holmen, Mondi and Mayr-Melnhof reported favorable

profitability. The reason is that they have established positions in

certain product niches. The producers of solely pulp also report

relatively high profitability.  The highest profitability is among

paper producers close to the end-customer.

In interviews with 36 opinion leaders and company executives regarding

the industry’s future, it was revealed that the balance between supply

and demand is the greatest challenge, followed by rising capacity in

growth countries. Some 90 percent of those questioned consider that the

industry must invest substantially more in research and development

than is the case today and that the industry is moving toward a slow

consolidation. Many pulp and paper manufacturers are integrating

forward in the value chain, that is, entering alliances with players

closer to the end-customer, where profitability is greater. 

“The industry will invest substantially more in productivity enhancing

measures and the consolidation trend is distinct although slow within

the industry. A typical example is SCA’s acquisition of Proctor &

Gamble’s tissue production in Europe,” comments Ulf Borgcrantz,

Director at Ernst & Young.",Engelska nyheter
39182.4652662037,Reinfeldt lobbies for new global climate agreement,"During Sweden’s presidency of the EU in 2009, Swedish Prime Minister

Fredrik Reinfeldt wants to negotiate a new climate agreement between

Europe, the US and Asia. The plan is for Sweden to assume a key role.","“The ambition is that Sweden will be a catalyst in the work to secure a new global agreement,” says Fredrik Reinfeldt.The Prime Minister met a few days ago with former US Vice President Al Gore. Plans for a new global agreement gained impetus during this meeting. The plan is that the new agreement will be far more comprehensive that the current Kyoto Protocol.“The Kyoto Protocol has not been accepted by all countries. Now the issue is whether we can create a global order that is supported actively by Europe as well as the US, China and India,” says Reinfeldt.According to the Prime Minister, Sweden shall play a leading role in the new climate agreement. “The ambition is for Sweden to play an important role. This is partly due to Sweden having advanced so far in its own environmental development, as well as because we can be a good intermediary between the countries that must reach agreement,” concludes Reinfeldt.<",Engelska nyheter
